arquivo,montadora,modelo,arquivo_original_commons,autor,licenca,pagina_fonte
byd_dolphin.jpg,BYD,Dolphin,"2024 BYD Dolphin EV in Cream White, front left, 06-22-2024.jpg",Ethan Llamas,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:2024_BYD_Dolphin_EV_in_Cream_White,_front_left,_06-22-2024.jpg"
byd_dolphin_02.jpg,BYD,Dolphin,BYD DOLPHIN EV FRONT.jpg,Mateusmatsuda,CC BY 4.0,https://commons.wikimedia.org/wiki/File:BYD_DOLPHIN_EV_FRONT.jpg
byd_dolphin_03.jpg,BYD,Dolphin,BYD Dolphin (front) 24 September 2024.jpg,メイド理世,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:BYD_Dolphin_(front)_24_September_2024.jpg
byd_dolphin_04.jpg,BYD,Dolphin,2021 BYD Dolphin EV (front).jpg,User3204,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:2021_BYD_Dolphin_EV_(front).jpg
byd_seal.jpg,BYD,Seal,"BYD SEAL WHITE, BRAZIL (front right view) 20240313 150525.jpg",Mateusmatsuda,CC BY 4.0,"https://commons.wikimedia.org/wiki/File:BYD_SEAL_WHITE,_BRAZIL_(front_right_view)_20240313_150525.jpg"
byd_seal_02.jpg,BYD,Seal,BYD SEAL WHITE front detail 20240313 150914.jpg,Mateusmatsuda,CC BY 4.0,https://commons.wikimedia.org/wiki/File:BYD_SEAL_WHITE_front_detail_20240313_150914.jpg
byd_seal_03.jpg,BYD,Seal,"2025 BYD Seal in Shark Grey, front left, 06-08-2025.jpg",Cutlass,CC0,"https://commons.wikimedia.org/wiki/File:2025_BYD_Seal_in_Shark_Grey,_front_left,_06-08-2025.jpg"
byd_seal_04.jpg,BYD,Seal,"BYD Seal in the Netherlands, front.jpg",Alexis Jazz,CC BY 4.0,"https://commons.wikimedia.org/wiki/File:BYD_Seal_in_the_Netherlands,_front.jpg"
byd_yuan_plus.jpg,BYD,Yuan Plus,BYD Yuan Plus 2023 in Kyiv Ukraine L.Riker front side.jpg,Strilets`,CC0,https://commons.wikimedia.org/wiki/File:BYD_Yuan_Plus_2023_in_Kyiv_Ukraine_L.Riker_front_side.jpg
byd_yuan_plus_02.jpg,BYD,Yuan Plus,BYD YUAN PLUS RED FRONT VIEW.jpg,Mateusmatsuda,CC BY 4.0,https://commons.wikimedia.org/wiki/File:BYD_YUAN_PLUS_RED_FRONT_VIEW.jpg
byd_yuan_plus_03.jpg,BYD,Yuan Plus,BYD YUAN PLUS RED FRONT RIGHT.jpg,Mateusmatsuda,CC BY 4.0,https://commons.wikimedia.org/wiki/File:BYD_YUAN_PLUS_RED_FRONT_RIGHT.jpg
byd_yuan_plus_04.jpg,BYD,Yuan Plus,BYD YUAN PLUS RED FRONT.jpg,Mateusmatsuda,CC BY 4.0,https://commons.wikimedia.org/wiki/File:BYD_YUAN_PLUS_RED_FRONT.jpg
chevrolet_montana.jpg,Chevrolet,Montana,2023 Chevrolet Montana LTZ front.jpg,Maxi-Napo-99,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:2023_Chevrolet_Montana_LTZ_front.jpg
chevrolet_montana_02.jpg,Chevrolet,Montana,2023 Chevrolet Montana Premier (Brazil) front view 01.jpg,Autosdeprimera,CC BY 3.0,https://commons.wikimedia.org/wiki/File:2023_Chevrolet_Montana_Premier_(Brazil)_front_view_01.jpg
chevrolet_montana_03.jpg,Chevrolet,Montana,Chevrolet Montana Mk3 LS 2023 in Maldonado 01.jpg,NaBUru38,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Chevrolet_Montana_Mk3_LS_2023_in_Maldonado_01.jpg
chevrolet_montana_04.jpg,Chevrolet,Montana,Chevrolet Montana Turbo LTZ 2023.jpg,RL GNZLZ,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Chevrolet_Montana_Turbo_LTZ_2023.jpg
chevrolet_onix.jpg,Chevrolet,Onix,Chevrolet Onix Mk2 RS 2020 in Maldonado - front.jpg,NaBUru38,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Chevrolet_Onix_Mk2_RS_2020_in_Maldonado_-_front.jpg
chevrolet_onix_02.jpg,Chevrolet,Onix,2023 Chevrolet Onix 1.2 Ecotec MT.jpg,Just a Man,CC BY 4.0,https://commons.wikimedia.org/wiki/File:2023_Chevrolet_Onix_1.2_Ecotec_MT.jpg
chevrolet_onix_03.jpg,Chevrolet,Onix,2022 Chevrolet Onix 1.2.jpg,Maxi-Napo-99,CC BY 4.0,https://commons.wikimedia.org/wiki/File:2022_Chevrolet_Onix_1.2.jpg
chevrolet_onix_04.jpg,Chevrolet,Onix,2022 Chevrolet Onix RS 1.0 Turbo.jpg,Just a Man,CC BY 4.0,https://commons.wikimedia.org/wiki/File:2022_Chevrolet_Onix_RS_1.0_Turbo.jpg
chevrolet_tracker.jpg,Chevrolet,Tracker,"2022 Chevrolet Tracker 1.2 Turbo LTZ, front (Argentina).jpg",Maxi-Napo-99,CC BY 4.0,"https://commons.wikimedia.org/wiki/File:2022_Chevrolet_Tracker_1.2_Turbo_LTZ,_front_(Argentina).jpg"
chevrolet_tracker_02.jpg,Chevrolet,Tracker,2023 Chevrolet Tracker 1.2 Premier.jpg,Maxi-Napo-99,CC BY 4.0,https://commons.wikimedia.org/wiki/File:2023_Chevrolet_Tracker_1.2_Premier.jpg
chevrolet_tracker_03.jpg,Chevrolet,Tracker,Chevrolet Tracker 1.0 LT Redline 2023.jpg,Captainmorlypogi1959,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Chevrolet_Tracker_1.0_LT_Redline_2023.jpg
